"Freq [MHz]","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='32mm'"
255,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.447982566162505,-0.443717328387139,-0.458409102435001,-0.453552713860981,-0.46854490452738,-0.485527911002598,-0.500706422261816,-0.519110171028132,-0.535078710438304,-0.428051758685105,-0.445544386907584,-0.479630393218342,-0.514729751444716,-0.54980709556146,-0.57877496164366,-0.61628828032196,-0.634992672433091,-0.429235943012533,-0.454005610955622,-0.500094600122701,-0.541463282423626,-0.577152925741785,-0.603244360344585,-0.612965470655021,-0.631250018207323,-0.437445224843458,-0.46150144821822,-0.502943377862796,-0.532623606057268,-0.553191922518533,-0.552399378764187,-0.569097216917718,-0.559812969706843,-0.438282255183493,-0.474083925137581,-0.513490256871276,-0.536287103049004,-0.539168610589536,-0.537111605589121,-0.528281089053445,-0.525594162712643,-0.430205927983916,-0.456269028106581,-0.487336888252686,-0.499821595107805,-0.494462866036734,-0.487244779238922,-0.477497386529265,-0.47262788483403,-0.431796866298407,-0.448522679489899,-0.461590474511001,-0.47082444800254,-0.455782918713749,-0.452224730777653,-0.436800122983534,-0.428665132338678
260,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.487349982928798,-0.481595246359694,-0.496506317186555,-0.490834443988724,-0.507286135092586,-0.525222827515392,-0.542573828431636,-0.562606971168914,-0.579880698747938,-0.461912303370556,-0.479887188092092,-0.516237166312551,-0.55363796577217,-0.591377033229802,-0.621441646897568,-0.662274002187246,-0.680748240160955,-0.461717617742491,-0.48687764220854,-0.53581168277057,-0.579268622359602,-0.616314653719984,-0.64248636138361,-0.650128120686364,-0.669472046352581,-0.46972567466893,-0.493029740205182,-0.535671835881297,-0.564920405038758,-0.58434607166741,-0.581616768646633,-0.59986382176229,-0.590983588557136,-0.468886332031362,-0.505115319022391,-0.54495546297721,-0.567669024076676,-0.569171691784805,-0.567614389237017,-0.562456536585175,-0.565923561251205,-0.459015711194923,-0.483720481899157,-0.513793663442922,-0.52487179627107,-0.5189015994028,-0.511966624817991,-0.506823701487618,-0.512815609304132,-0.459862153162567,-0.47375136031634,-0.484184794877362,-0.493153601244198,-0.47697089838114,-0.478866071674839,-0.466839402739692,-0.467472548789457
265,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.531542757709926,-0.524007862380626,-0.538984146163163,-0.532343458843669,-0.55046303862952,-0.569322076847671,-0.58922652155478,-0.611117219444322,-0.629794392264958,-0.499479474491557,-0.517850592723602,-0.556618614589541,-0.596455589994459,-0.637233014295551,-0.66841965761015,-0.713049051402038,-0.731458233230526,-0.497679075002567,-0.522983217644607,-0.574969423473574,-0.62065056712054,-0.659317635567392,-0.6859010330209,-0.692039450271235,-0.714215249401889,-0.505469179716241,-0.527607355194382,-0.571382579993343,-0.600076601785398,-0.618513903688163,-0.614615215781383,-0.636640019630504,-0.631024137089623,-0.502589944318021,-0.539150359284566,-0.579449608433086,-0.602711453462075,-0.603907429134457,-0.605204919937992,-0.608691221452455,-0.626660740121085,-0.490725408811987,-0.513720994464179,-0.542623285212445,-0.552534352775695,-0.547483758880886,-0.543055083797357,-0.547811270769443,-0.577182403991386,-0.490764526342083,-0.501296516621442,-0.508826499883381,-0.518319973323388,-0.502468066976041,-0.514511975956941,-0.511263626910111,-0.532631001194528
270,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.581399419860738,-0.571739412528544,-0.586557533752797,-0.578767708298616,-0.598803504521445,-0.618510155726869,-0.64143304331491,-0.665441107743652,-0.685623904030145,-0.541352990650673,-0.55999831866481,-0.60135024916523,-0.643775264365345,-0.688079258126827,-0.720496776502482,-0.769678083743545,-0.788549542621418,-0.537684220195771,-0.562809606846066,-0.618104125703813,-0.666240773991104,-0.707055019641497,-0.734898494462081,-0.741016969018744,-0.769596676706114,-0.545252521238482,-0.565710967001017,-0.610574980364889,-0.638710603743104,-0.656691640192884,-0.653159847652204,-0.683097391884638,-0.686423250212126,-0.539894660366045,-0.576710439103077,-0.617650186301957,-0.642648087061053,-0.645641239896724,-0.654186946473409,-0.67595644116258,-0.727238150441607,-0.525830533340298,-0.546734069354666,-0.574400522855678,-0.583765954812839,-0.58230612191766,-0.584728218704623,-0.609812619476318,-0.691590570451363,-0.525008213369198,-0.531609241065166,-0.53605711931568,-0.547462982089568,-0.534627393819304,-0.565273736816179,-0.582824214894395,-0.656080099110783
275,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.637938436696145,-0.625746963928335,-0.640086071077883,-0.630938269540087,-0.653187850478796,-0.673605240012494,-0.700118445393697,-0.726540215698512,-0.748336981050335,-0.588262830510863,-0.607014206288511,-0.651133080563008,-0.696333451219056,-0.744826124987437,-0.778753675841807,-0.833742769171788,-0.854274201319628,-0.582422268936096,-0.606953118574874,-0.66589577045034,-0.716902399444401,-0.760865747975074,-0.791775824108747,-0.801059588940161,-0.843175733144149,-0.589785330378832,-0.607931330120114,-0.653904346823229,-0.681720190266983,-0.700451720542071,-0.700165832925208,-0.745767127040712,-0.769703011505323,-0.581418938555901,-0.618467992409015,-0.66051081963687,-0.689381587534005,-0.698133541561022,-0.722255847342395,-0.782131187893168,-0.913183834594507,-0.564952458880341,-0.583366068629758,-0.609951150546097,-0.620065143778966,-0.626902582301483,-0.644846249103909,-0.712502828070246,-0.922871154739304,-0.563231325669458,-0.565286787247685,-0.566654906269946,-0.582360372175025,-0.577477528261575,-0.642921916479102,-0.710499599774772,-0.929802132702768
280,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.702397610035721,-0.687202362838075,-0.700604378913311,-0.689862802819847,-0.714684678378312,-0.735588464414942,-0.766400662494814,-0.795576792699897,-0.819108625445005,-0.641104061563854,-0.65973517464673,-0.706832068653227,-0.755066118175532,-0.808688167795525,-0.844726827182894,-0.907678320677132,-0.932281021448111,-0.632743352488706,-0.656154063857754,-0.719229098260826,-0.773860059372528,-0.822826743869978,-0.860373290699616,-0.879264244961762,-0.949439149874302,-0.639949097127672,-0.655012468336293,-0.70225490472771,-0.73044894203831,-0.752334226915819,-0.760587726539258,-0.836821070089103,-0.906838698697031,-0.627934617649608,-0.665309823199362,-0.709410413257718,-0.745926185436705,-0.767847909823315,-0.823927443225139,-0.96601458802257,-1.30700474786094,-0.608881524278023,-0.62442846321552,-0.650494260616167,-0.663845674308605,-0.687485137642393,-0.739048567202236,-0.901839694219976,-1.47718470084531,-0.606253264783123,-0.60313706424061,-0.601766342044029,-0.625870090003003,-0.638255409139325,-0.772010350437352,-0.969494694118216,-1.68410330817013
285,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.776277446203568,-0.757542175386465,-0.769356045180217,-0.756765780206813,-0.784594041714918,-0.805639018565117,-0.841634876041444,-0.8739641139473,-0.899380369052342,-0.700982075375892,-0.719195114855045,-0.769530240054231,-0.82119361270423,-0.881340340340847,-0.920673834486002,-0.995346913369919,-1.02861898278104,-0.689706139147245,-0.711346593731996,-0.779288530724805,-0.838915718759204,-0.896259218629015,-0.947285392336765,-0.98869372627652,-1.11780231938886,-0.696849552597961,-0.707908160285502,-0.756854132279273,-0.786965035967364,-0.816546269498133,-0.843152855184816,-0.98034799715805,-1.15702170050582,-0.680417529027972,-0.718433549057679,-0.766396317964342,-0.817195408694872,-0.866370129773955,-0.988475778302844,-1.32149824691859,-2.30298851478469,-0.658638394299015,-0.671033503240278,-0.697880100609937,-0.719121255318289,-0.775544283257026,-0.901155982628831,-1.3008968792498,-3.1480393603387,-0.655142582601674,-0.646277630609411,-0.643124949284834,-0.682748939790657,-0.730745970668442,-1.00920943035798,-1.59254685849268,-4.40285283304526
290,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.861382885070823,-0.838523591251821,-0.8478280652542,-0.833134918611291,-0.864497329032789,-0.885175076291396,-0.927466268514776,-0.963431235481839,-0.990942325657446,-0.769271052541587,-0.786683681765933,-0.840606094191115,-0.896352147936181,-0.965169099142118,-1.01000789347038,-1.10302447433815,-1.15353733900837,-0.75464176596178,-0.773730963390272,-0.847708201041906,-0.91481261717785,-0.986624468781793,-1.06418142391472,-1.15455103702973,-1.41268748674062,-0.761887102684571,-0.767864517506654,-0.819454443488516,-0.854538012729334,-0.90025809812298,-0.963936051231586,-1.22781032480763,-1.67242491586498,-0.740118420149836,-0.779496883229536,-0.834588536496849,-0.911453656461511,-1.01554869291801,-1.28006595915,-2.10931605610009,-5.44991788027806,-0.715562505578132,-0.724743953104162,-0.75499827476228,-0.792818177316133,-0.913702614862584,-1.21252009591856,-2.30230121940614,-9.19116340288656,-0.711315255062111,-0.696290423335108,-0.69342591036789,-0.761242996856841,-0.883175616523086,-1.50334417013726,-3.47290251074613,-9.14440712346716
295,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.959850130119533,-0.93227924105618,-0.93777856071743,-0.920770679369143,-0.956310527613378,-0.975899307090436,-1.02588999540446,-1.0661062879917,-1.09604853369068,-0.847688522896171,-0.863825187810046,-0.921845804683269,-0.982799886789712,-1.0636779031554,-1.11801168684168,-1.24111716068573,-1.32479655029124,-0.829239596886762,-0.844879924146775,-0.926812533256914,-1.00585788053097,-1.10314740922431,-1.23245030869924,-1.42844436295786,-1.98925692747024,-0.836851108140393,-0.836542166249869,-0.892625732678946,-0.938473679100869,-1.01610923680152,-1.15422912254918,-1.70016747423674,-2.90686951617035,-0.808663116396189,-0.850852192641053,-0.918865478405716,-1.04309666029155,-1.25918418865868,-1.85447265572573,-4.18372299977874,-14.5836498330852,-0.78144091355619,-0.787811752567413,-0.826499560535725,-0.897424126932859,-1.15005506205805,-1.89697557130879,-5.42420974771939,-7.75315824971135,-0.776678379130836,-0.75546812988408,-0.756988333591153,-0.876351194977931,-1.15876982052238,-2.71358471128312,-10.2084780673609,-3.92701003019404
300,-1.074130998523,-1.074130998523,-1.074130998523,-1.074130998523,-1.074130998523,-1.074130998523,-1.074130998523,-1.074130998523,-1.04135349946872,-1.04124295939521,-1.02183037351289,-1.06233192383546,-1.07984527735171,-1.13931397987143,-1.18462313955439,-1.21758046991309,-0.938387797646849,-0.95268399496353,-1.0156072666818,-1.08374187226038,-1.18214158385801,-1.25301135418402,-1.42717637110969,-1.57391185440806,-0.915661284884226,-0.926897282522597,-1.02000640232433,-1.11900352535208,-1.26183805822137,-1.49295131116709,-1.92398106652952,-3.26564584890354,-0.924044289793758,-0.916198615359318,-0.980232135571799,-1.04761571265941,-1.18729239585695,-1.47918993861835,-2.71625421644181,-6.46467318873576,-0.888194490301658,-0.935919854474697,-1.02705182918965,-1.23820282561223,-1.69165594794209,-3.1381609904497,-11.1137391934675,-6.51313091644452,-0.85869740852151,-0.86356528311457,-0.920115403562267,-1.05665849989437,-1.59691016118046,-3.67727017312775,-14.663423514466,-3.42580695537174,-0.853841610974864,-0.827213875503142,-0.840968901797762,-1.05695549663514,-1.71571327375874,-6.35495026227295,-7.84265991483017,-2.08082117618506
305,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.20688268993556,-1.16868314439511,-1.16049118202047,-1.13884834858008,-1.18526493634884,-1.1994169286895,-1.27061448317198,-1.32225636462319,-1.35927802849877,-1.04406620304441,-1.05590316069512,-1.12506023841393,-1.20384153928031,-1.32865394393734,-1.42829877094169,-1.69121742519586,-1.95814234708439,-1.01668920514102,-1.02265595738236,-1.13241235622516,-1.26574920342443,-1.49126527725062,-1.92746430486223,-2.91268699586536,-6.53115615276833,-1.02644175531326,-1.00996149167945,-1.08821678470104,-1.1971252109438,-1.45841478672541,-2.08567534314489,-5.23611517746534,-18.6293127657559,-0.981573041987517,-1.03978828443553,-1.17201707081873,-1.54607852731452,-2.5334229196401,-6.48039300274364,-13.8847522728544,-3.30341009624132,-0.950670711249715,-0.957048443095073,-1.04915924621117,-1.31844536879519,-2.5472425059528,-9.38622300896816,-6.77791363476053,-2.06098159824878,-0.946428443445284,-0.91670148072176,-0.957676494527461,-1.36252929588291,-3.00510413037976,-20.4975127421971,-3.54634354025257,-1.43377352873558
310,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.3606747861152,-1.31745174986237,-1.2978901404785,-1.27469661908118,-1.32817990030339,-1.3374074950654,-1.42316626349679,-1.48308811672474,-1.5260586127431,-1.16807719180772,-1.17688065507369,-1.25453423957959,-1.35001623370701,-1.51577302519284,-1.66523390636976,-2.08499799339333,-2.58344168495041,-1.13591083261234,-1.13615534410847,-1.27191204564938,-1.46552502701283,-1.84381940646414,-2.7075965290563,-5.10360493464394,-18.1610162655969,-1.14788131653962,-1.12223630184794,-1.22590129958953,-1.41377489717394,-1.91992012573929,-3.33489705229322,-13.1101800982172,-8.33582221838839,-1.0926561180956,-1.17018191808342,-1.37543963652434,-2.06405348430722,-4.34382605909293,-19.0874872397689,-5.7885092470613,-2.1557886049154,-1.06202092548553,-1.07609047388854,-1.23745290896499,-1.78678393305183,-4.86662332134538,-15.5561421941053,-3.4509883012977,-1.50580494508621,-1.05953013454546,-1.03198390750272,-1.12918135851109,-1.92529046370549,-6.528490870333,-7.87195479250767,-2.17092590360023,-1.14732950553863
315,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.5373881797746,-1.49070038769243,-1.45560665146462,-1.43242574809106,-1.49435654185385,-1.49697856974635,-1.60082143991499,-1.67220646663547,-1.72443616067323,-1.31451279584453,-1.31997790909767,-1.41000810647657,-1.53263987438193,-1.76300740588523,-1.99807514514763,-2.69742468355545,-3.64596069081527,-1.27792614451763,-1.27305127030333,-1.45083161610282,-1.75170909224664,-2.41773589668464,-4.2073262663948,-10.6822557776342,-12.2977370926628,-1.29326002228068,-1.25930491708075,-1.40813394542283,-1.74626990198164,-2.76530319313941,-6.20776470908833,-15.276666741619,-4.2846443129109,-1.22667300397703,-1.33901232710292,-1.67458351392271,-2.9910370491453,-8.70402345832907,-11.5694909795932,-3.39033614017536,-1.6349090021366,-1.19930986163917,-1.23311284942286,-1.52939214614702,-2.70556744761646,-11.798329685464,-6.29624001357654,-2.25959364586725,-1.23194641602668,-1.20034946101181,-1.18587536876028,-1.39690861202451,-3.06407043560168,-21.136446559683,-4.03716838243981,-1.60338498637927,-1.00036043153741
320,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.73718821180883,-1.69053976997662,-1.63508490848611,-1.61490233710627,-1.68693398641409,-1.68158119880752,-1.80781417764347,-1.89592703116743,-1.96302103211286,-1.4881814823256,-1.49073061162517,-1.59975776446396,-1.76726249680779,-2.10029744364678,-2.48088766308519,-3.67651830207572,-5.49215532521061,-1.44852934725593,-1.44141666513901,-1.68859252433535,-2.18210513021172,-3.39838577596821,-7.25910725242533,-23.0594497559268,-6.15062426189363,-1.46866200464749,-1.43017052708064,-1.65878063466606,-2.28550891580321,-4.42777251904293,-14.2246728538986,-6.75995375386053,-2.77490432737011,-1.39069141371318,-1.5647982107909,-2.13421334422929,-4.7366606048261,-20.8889860638838,-5.78471146220419,-2.38349353884374,-1.35669075656588,-1.37178561164054,-1.44817361370249,-2.01108453673338,-4.69252918443543,-17.7475668345189,-3.63413496350364,-1.72098717445002,-1.07876972054023,-1.37905619124726,-1.39914980246944,-1.84241151573357,-5.61235979719403,-10.2871854615344,-2.64725328592567,-1.32294376854768,-0.918467145134546
325,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.95712016657776,-1.9168619924047,-1.83629700247983,-1.82416971253865,-1.90832513560859,-1.89482348150214,-2.04860321433408,-2.16201920506976,-2.25301715118419,-1.69434088413858,-1.6959796431677,-1.83511121524378,-2.0768132361606,-2.57213950683232,-3.19541780301381,-5.24559029126545,-8.6056561094584,-1.65474221642684,-1.65275884654595,-2.01561750459687,-2.85591168661457,-5.12452112792731,-13.6064692424237,-9.58105036083136,-3.93479642081128,-1.68124597553294,-1.64765609261166,-2.01612626200325,-3.20309977057295,-7.91727797941656,-16.2462486932558,-4.09268494217724,-2.06491063434857,-1.59410169081741,-1.87619122291289,-2.86572297763286,-8.09181161193185,-11.0015404133093,-3.70442490835645,-1.87330743807806,-1.19037761265522,-1.5923167120895,-1.75396342857849,-2.85479020318652,-9.50858412812064,-7.46114745003748,-2.54590278836024,-1.43617322883945,-0.985750841488907,-1.60975905380016,-1.70585833974759,-2.63335030020327,-12.1304002796321,-5.26787016293319,-2.00925602104391,-1.16780188296422,-0.871319538271326
330,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.18986080656656,-2.16576447030616,-2.05696674151523,-2.06057586278319,-2.15949748332612,-2.14035269865478,-2.32775346939057,-2.47990931910418,-2.60853966479871,-1.93797706240466,-1.94375392857141,-2.1310935890555,-2.49379557618591,-3.24044572611584,-4.25342387304879,-7.63732433476069,-12.4105565484363,-1.9044530448116,-1.92318321380882,-2.47828108839133,-3.93592548709333,-8.13202722396688,-14.9899583292269,-5.71078696838902,-2.87880687781665,-1.93857307324419,-1.9295848898407,-2.54024710613141,-4.81587192653572,-15.5205838740442,-7.84866999286735,-2.89987013605917,-1.67490832251202,-1.84887696289542,-2.31629157504527,-4.04959288167284,-13.5213070577868,-6.32121595648076,-2.72662092674904,-1.57956945004888,-1.08253175151608,-1.87815679875087,-2.20336639281534,-4.40693758464479,-23.3861994140516,-4.51406020459189,-2.00521886176647,-1.2688163593594,-0.926152862325129,-1.91115064090599,-2.16152985714753,-4.1232266641874,-17.8009449060774,-3.43940894444257,-1.67016828644533,-1.07601397818633,-0.84468812746573
335,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4239258351226,-2.4286259363023,-2.29232539301355,-2.32202670217058,-2.43953442600826,-2.42192427720683,-2.65008054359151,-2.86082791329197,-3.04649282400307,-2.22245269720636,-2.24264755535718,-2.50644728274122,-3.06094603596969,-4.18051246705928,-5.77036180003321,-10.5276757331844,-11.5990975466219,-2.20528522249855,-2.27423371562371,-3.14286784280154,-5.65726390479301,-12.4533439272955,-9.034968987503,-3.97764673471775,-2.29002780286174,-2.24693599648659,-2.29941786094473,-3.31981872516838,-7.64784860586997,-13.9795443032905,-4.9411641166353,-2.26655113029406,-1.43531889533298,-2.16904476067674,-2.94538842260816,-5.92576699875587,-12.4898477983597,-4.32295759631375,-2.19218212069087,-1.3941135211302,-1.0081509115361,-2.25058917739103,-2.87845124171596,-7.32847541412127,-10.9378767401413,-3.22589023384755,-1.69940635821784,-1.16304341333926,-0.886680022864221,-2.30557293552042,-2.85319867692804,-7.04721837234053,-8.68965749478699,-2.58424724058993,-1.47175612480874,-1.01988799350436,-0.831149960567699
340,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.64690516971416,-2.69356387838849,-2.53623949855307,-2.60417552054506,-2.7462251083334,-2.74390371229939,-3.02130868284035,-3.31784501554001,-3.58570965221286,-2.54770377021362,-2.60047356772163,-2.9821808864581,-3.82707715999278,-5.45682890310155,-7.73751173482252,-11.4416960868521,-8.39110591054012,-2.56238545656617,-2.73224947048831,-4.09190424992488,-8.22777803911528,-12.8174869457092,-6.10631515008014,-3.04815804445942,-1.9224927611412,-2.60844733375545,-2.7848539527232,-4.46752400043246,-12.0001691974064,-8.28025444599891,-3.56025554102015,-1.88772781144747,-1.27518572985958,-2.56838657343699,-3.83444634352962,-8.57703348022811,-8.32530147435236,-3.29058869822615,-1.86728682076293,-1.26853940945379,-0.954282573748399,-2.73138870358598,-3.89240141062585,-12.4147742142781,-6.49678032689954,-2.55536343042388,-1.50993714922124,-1.09263551349353,-0.860091694321,-2.81389424787923,-3.90178135004331,-12.6202115723439,-5.47547452533884,-2.12223648204514,-1.34803962243817,-0.985514532111959,-0.826492064519048
345,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.85166589823463,-2.95048148830009,-2.78416938610846,-2.90246876793296,-3.07828115734651,-3.11233305755263,-3.44922935609986,-3.86561545865573,-4.24495117873445,-2.90904460245322,-3.02239904316905,-3.57782949385916,-4.83277293717681,-7.05038808151356,-9.62946483864602,-9.50307605999188,-6.17444652458548,-2.97550779335262,-3.32426735070459,-5.39767940451053,-11.1508061829246,-9.35421034915362,-4.54149044166354,-2.48654848382462,-1.67239278653045,-3.01766113866642,-3.41185150568943,-6.07221930479114,-13.3786589672074,-5.65460176078613,-2.79702248952739,-1.63990583300227,-1.16086313436086,-3.05535438438284,-5.03224704547027,-10.905040560756,-5.97019820850899,-2.68857280074489,-1.65329374569629,-1.17865653100223,-0.913668719454653,-3.33313702455697,-5.35443072986634,-14.0919463273767,-4.56939033039942,-2.16354649814653,-1.38440836094005,-1.04395512932317,-0.842149632397311,-3.44276740527578,-5.42059066141761,-14.5692580401164,-3.97879621303266,-1.84711280031229,-1.26766180751414,-0.965240826365197,-0.828146225862394
350,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.04220333061912,-3.19795861187424,-3.03704703962819,-3.21599491998855,-3.43869553827897,-3.53629686650367,-3.94480190396471,-4.51928691692933,-5.03876942147372,-3.2985467858564,-3.50965141752221,-4.30551972089117,-6.07894594565272,-8.69359679920431,-10.1678828951864,-7.38241975031482,-4.77060982739199,-3.43728289390677,-4.06867859355312,-7.04569987728111,-11.8045728234649,-6.89268285098449,-3.6066394446283,-2.11522869916539,-1.49030998960795,-3.4603426247872,-4.19166720839506,-8.03181541169085,-9.90556462296028,-4.25632403238418,-2.32807603235592,-1.46601496248204,-1.07480643528588,-3.62573393034963,-6.48310472023756,-10.5219107188965,-4.62537568133629,-2.30440253511189,-1.5031487312901,-1.11130233070438,-0.881983465171969,-4.04266848668759,-7.22366878849388,-9.77459036540021,-3.56056755929746,-1.91440093212416,-1.29682574215316,-1.00931471731198,-0.830221443961167,-4.16467101281031,-7.33439561071247,-9.49698597953991,-3.17064881136835,-1.67163950198609,-1.21414367896791,-0.954530104239569,-0.834441684910975
