Gráfico,frequência de ressonância,S11,BW
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='24mm'""}",185,-23.25645,10.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='24mm'""}",180,-17.52104,10.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='24mm'""}",175,-11.79079,10.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='24mm'""}",170,-10.35519,10.0
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='24mm'""}",165,-8.29107,
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='24mm'""}",160,-6.28336,
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='28mm'""}",200,-11.82888,15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='28mm'""}",200,-13.94903,20.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='28mm'""}",195,-16.58318,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='28mm'""}",190,-14.48627,15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='28mm'""}",185,-11.06055,15.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='28mm'""}",175,-9.35082,
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='28mm'""}",170,-8.12108,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='28mm'""}",165,-7.25483,
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='28mm'""}",165,-5.75746,
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='28mm'""}",160,-5.27265,
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='32mm'""}",200,-12.45288,15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='32mm'""}",200,-15.00404,20.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='32mm'""}",190,-17.11968,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='32mm'""}",185,-15.59853,15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='32mm'""}",180,-12.81492,10.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='32mm'""}",175,-11.02877,10.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='32mm'""}",170,-9.12443,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='32mm'""}",165,-6.83343,
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='32mm'""}",160,-6.52926,
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='32mm'""}",155,-5.37770,
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='36mm'""}",200,-10.70171,15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='36mm'""}",200,-14.53139,20.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='36mm'""}",190,-20.46519,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='36mm'""}",185,-20.49160,10.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='36mm'""}",180,-10.92487,10.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='36mm'""}",175,-7.88779,
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='36mm'""}",170,-6.27820,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='36mm'""}",165,-6.23108,
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='36mm'""}",160,-5.77423,
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='36mm'""}",155,-4.78809,
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='40mm'""}",205,-12.28429,15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='40mm'""}",195,-17.08631,15.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='40mm'""}",190,-22.80982,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='40mm'""}",185,-13.85100,10.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='40mm'""}",180,-9.47759,
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='40mm'""}",170,-7.06719,
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='40mm'""}",165,-6.61612,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='40mm'""}",160,-5.61965,
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='40mm'""}",160,-4.12449,
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='40mm'""}",155,-4.30784,
